provinsi,kabupaten,kecamatan,stasiun,lon,lat,hth,ihth
BANTEN,LEBAK,Pandeglang,Bendung Bunut,106.1100,-6.2700,,
BANTEN,LEBAK,Cibadak,Bojong Leles,106.2500,-6.3500,,
BANTEN,LEBAK,Bojong Manik,Bojong Manik,106.1663,-6.5849,,
BANTEN,LEBAK,Banjarsari,BPP Banjarsari,105.9893,-6.5318,55,5
BANTEN,LEBAK,Cibeber,BPP Cibeber,106.3295,-6.8323,,
BANTEN,LEBAK,Cihara,BPP Cihara,106.1093,-6.8514,53,5
BANTEN,LEBAK,Cikulur,BPP Cikulur,106.1466,-6.3887,,
BANTEN,LEBAK,Cilograng,BPP Cilograng,106.3315,-6.9156,88,6
BANTEN,LEBAK,,BPP Cirinten,106.1596,-6.6161,9,2
BANTEN,LEBAK,Gunung Kencana,BPP Gunung Kencana,106.0749,-6.5751,53,5
BANTEN,LEBAK,Leuwidamar,BPP Leuwidamar,106.2063,-6.5149,2,1
BANTEN,LEBAK,Sajira,BPP Sajira,106.3723,-6.4884,1,1
BANTEN,LEBAK,Cijaku,Cijaku,106.0702,-6.7047,56,5
BANTEN,LEBAK,Rangkasbitung,Cijaura Cimesir,106.2614,-6.3614,1,1
BANTEN,LEBAK,Muncang,Cilaki/Ciminyak,106.3023,-6.5398,,
BANTEN,LEBAK,Banjarsari,Cilemer,106.0154,-6.4935,,
BANTEN,LEBAK,Cimarga,Cimarga/Situ Palayangan,106.2319,-6.4097,,
BANTEN,LEBAK,Maja,Cisalak Baru,106.3021,-6.3735,1,1
BANTEN,LEBAK,Pandeglang,Cisangu Atas,106.2400,-6.3100,,
BANTEN,LEBAK,Cipanas,Kecamatan Cipanas,106.3828,-6.5313,,
BANTEN,LEBAK,Sajira,Kecamatan Sajira,106.3300,-6.4700,1,1
BANTEN,LEBAK,Leuwidamar,Leuwidamar,106.1923,-6.5098,2,1
BANTEN,LEBAK,Malingping,Malingping Utara,106.0108,-6.7759,100,6
BANTEN,LEBAK,Muncang,Muncang,106.2895,-6.5459,,
BANTEN,LEBAK,Malingping,Pagelaran,106.0428,-6.8161,57,5
BANTEN,LEBAK,Panggarangan,Panyaungan/Panggarangan,106.1733,-6.9078,41,5
BANTEN,LEBAK,Rangkasbitung,Pasir Ona Rangkas,106.2571,-6.2211,1,1
BANTEN,LEBAK,Leuwidamar,Sampang Peundeuy,106.1873,-6.4951,2,1
BANTEN,LEBAK,,Wanassalam,105.9573,-6.7978,55,5
BANTEN,LEBAK,Warung Gunung,Warung Gunung,106.1717,-6.3416,54,5
