"Provinsi" "Kabupaten" "Kecamatan" "Status" "Warna"
"BANTEN" "KAB. LEBAK" "RANGKASBITUNG" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "SARIJA" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "SOBANG" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "WANASALAM" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "WARUNG GUNUNG" "Waspada" "Yellow"
"BANTEN" "KOTA SERANG" "CIPACOKJAYA" "Waspada" "Yellow"
"BANTEN" "KOTA SERANG" "CURUG" "Waspada" "Yellow"
"BANTEN" "KOTA SERANG" "KASEMEN" "Siaga" "Orange"
"BANTEN" "KOTA SERANG" "SERANG" "Waspada" "Yellow"
"BANTEN" "KOTA SERANG" "TAKTAKAN" "Waspada" "Yellow"
"BANTEN" "KOTA SERANG" "WALANTAKA" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "BATUCEPER" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "BENDA" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "CIBODAS" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "CILEDUG" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "CIPONDOH" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "JATI UWUNG" "Waspada" "Yellow"
"BANTEN" "KOTA TANGERANG" "KARANG TENGAH" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "KARAWACI" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "PERIUK" "Waspada" "Yellow"
"BANTEN" "KOTA TANGERANG" "PINANG" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG" "TANGERANG" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "CAKUNG" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "CIPAYUNG" "Siaga" "Orange"
